Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
12,1,DNM_0402,"CAPACITOR, CERAMIC, TBD, -55DEGC/+125DEGC, 0402, DNM, SMD",02-07616,C15,,,17800,,,
13,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C16,,,17699,,,
14,1,12pF,"CAPACITOR, CERAMIC C0G/NP0, 12pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07617,C17,,,17691,,,
15,1,12pF,"CAPACITOR, CERAMIC C0G/NP0, 12pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07617,C18,,,17758,,,
16,1,1uF,"CAPACITOR, CERAMIC X5R, 1uF, 10V, -10%/+10%, -55DEGC/+85DEGC, 0402, SMD",02-07611,C19,,,17761,,,
17,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C20,,,17740,,,
18,1,1pF,"CAPACITOR, CERAMIC C0G/NP0, 1pF, 50V, -0.25pF/ +0.25pF, -55DEGC/+125DEGC, 0402, SMD",02-07627,C21,,,17810,,,
19,1,12pF,"CAPACITOR, CERAMIC C0G/NP0, 12pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07617,C24,,,17783,,,
20,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C30,,,19501,,,
21,1,6.8pF,"CAPACITOR, CERAMIC C0G/NP0, 6.8pF, 50V, -0.25pF/+0.25pF, -55DEGC/+125DEGC, 0402, SMD",02-04169,C31,,,17746,,,
22,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C32,,,19432,,,
23,1,12pF,"CAPACITOR, CERAMIC C0G/NP0, 12pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07617,C33,,,18186,,,
24,1,12pF,"CAPACITOR, CERAMIC C0G/NP0, 12pF, 50V, -5%/+5%, -55DEGC/+125DEGC, 0402, SMD",02-07617,C34,,,18183,,,
25,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C35,,,18269,,,
26,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C36,,,18263,,,
27,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C37,,,18279,,,
28,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C38,,,19411,,,
29,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C39,,,19428,,,
